calendar,summary,start,end,duration
Work,Shift: ECS Queen Anne,2025-08-29 10:00:00-07:00,2025-08-29 17:00:00-07:00,7.0
Work,Shift: ECS Queen Anne,2025-09-02 09:00:00-07:00,2025-09-02 17:00:00-07:00,8.0
Work,Shift: ECS Queen Anne,2025-09-03 09:00:00-07:00,2025-09-03 16:00:00-07:00,7.0
Work,Shift: ECS Queen Anne,2025-09-04 08:00:00-07:00,2025-09-04 13:30:00-07:00,5.5
Holidays in United States,Labor Day,2025-09-01 00:00:00,2025-09-02 23:59:59.999999,47.99999999972222
Phases of the Moon,First quarter 23:25,2025-08-30 00:00:00,2025-08-31 23:59:59.999999,47.99999999972222
Exercise,Run,2025-09-03 16:45:00-07:00,2025-09-03 17:45:00-07:00,1.0
Homework,Project,2025-08-28 17:45:00-07:00,2025-08-28 19:45:00-07:00,2.0
Homework,Project,2025-09-01 09:00:00-07:00,2025-09-01 09:30:00-07:00,0.5
Homework,Project,2025-09-03 20:00:00-07:00,2025-09-03 21:00:00-07:00,1.0
Interviews,Interview/Job Search,2025-09-02 09:15:00-07:00,2025-09-02 11:30:00-07:00,2.25
Music,DJ,2025-08-28 14:15:00-07:00,2025-08-28 16:00:00-07:00,1.75
Music,Production Practice,2025-08-28 16:15:00-07:00,2025-08-28 17:15:00-07:00,1.0
Music,DJ,2025-09-01 18:30:00-07:00,2025-09-01 19:45:00-07:00,1.25
Music,DJ,2025-09-02 17:30:00-07:00,2025-09-02 18:45:00-07:00,1.25
Music,Production Practice,2025-09-02 19:00:00-07:00,2025-09-02 20:00:00-07:00,1.0
Music,DJ,2025-09-03 18:00:00-07:00,2025-09-03 19:30:00-07:00,1.5
Personal,Rebecca Meeting,2025-08-28 17:30:00-04:00,2025-08-28 18:30:00-04:00,1.0
Personal,Cook,2025-08-28 23:00:00-04:00,2025-08-29 00:00:00-04:00,1.0
Personal,Bedtime,2025-08-29 00:30:00-04:00,2025-08-29 00:45:00-04:00,0.25
Personal,Finances,2025-08-30 00:00:00,2025-08-31 23:59:59.999999,47.99999999972222
Personal,Bedtime,2025-08-30 00:30:00-04:00,2025-08-30 00:45:00-04:00,0.25
Personal,Cook,2025-09-01 23:00:00-04:00,2025-09-02 00:00:00-04:00,1.0
Personal,Bedtime,2025-09-02 00:30:00-04:00,2025-09-02 00:45:00-04:00,0.25
Personal,Bedtime,2025-09-03 00:30:00-04:00,2025-09-03 00:45:00-04:00,0.25
Personal,2nd payment filler,2025-09-04 00:00:00,2025-09-05 23:59:59.999999,47.99999999972222
Personal,Bedtime,2025-09-04 00:30:00-04:00,2025-09-04 00:45:00-04:00,0.25
Subscription/Loan,Serato (Canceled),2025-08-30 00:00:00,2025-08-31 23:59:59.999999,47.99999999972222
